country/region,who_region,confirmed,deaths,recovered,active,new_cases,new_deaths,new_recovered
Colombia,Americas,257101,8777,131161,117163,16306,508,11494
Comoros,Africa,354,7,328,19,0,0,0
Congo (Brazzaville),Africa,3200,54,829,2317,162,3,73
Congo (Kinshasa),Africa,8844,208,5700,2936,13,4,190
Costa Rica,Americas,15841,115,3824,11902,612,11,88
Cote d'Ivoire,Africa,15655,96,10361,5198,59,0,183
Croatia,Europe,4881,139,3936,806,24,3,70
Cuba,Americas,2532,87,2351,94,37,0,2
Cyprus,Europe,1060,19,852,189,3,0,0
Czechia,Europe,15516,373,11428,3715,192,2,0
Denmark,Europe,13761,613,12605,543,109,0,77
Djibouti,Eastern Mediterranean,5059,58,4977,24,9,0,11
Dominica,Americas,18,0,18,0,0,0,0
Dominican Republic,Americas,64156,1083,30204,32869,1248,20,1601
Ecuador,Americas,81161,5532,34896,40733,467,17,0
Egypt,Eastern Mediterranean,92482,4652,34838,52992,420,46,1007
El Salvador,Americas,15035,408,7778,6849,405,8,130
Equatorial Guinea,Africa,3071,51,842,2178,0,0,0
Eritrea,Africa,265,0,191,74,2,0,2
Estonia,Europe,2034,69,1923,42,0,0,1
Eswatini,Africa,2316,34,1025,1257,109,2,39
Ethiopia,Africa,14547,228,6386,7933,579,5,170
Fiji,Western Pacific,27,0,18,9,0,0,0
Finland,Europe,7398,329,6920,149,5,0,0
France,Europe,220352,30212,81212,108928,2551,17,267
Gabon,Africa,7189,49,4682,2458,205,0,219
Gambia,Africa,326,8,66,252,49,2,6
Georgia,Europe,1137,16,922,199,6,0,2
Germany,Europe,207112,9125,190314,7673,445,1,259
Ghana,Africa,33624,168,29801,3655,655,0,307
Greece,Europe,4227,202,1374,2651,34,0,0
Greenland,Europe,14,0,13,1,1,0,0
Grenada,Americas,23,0,23,0,0,0,0
Guatemala,Americas,45309,1761,32455,11093,256,27,843
Guinea,Africa,7055,45,6257,753,47,2,105
Guinea-Bissau,Africa,1954,26,803,1125,0,0,0
Guyana,Americas,389,20,181,188,19,0,0
Haiti,Americas,7340,158,4365,2817,25,1,0
Holy See,Europe,12,0,12,0,0,0,0
Honduras,Americas,39741,1166,5039,33536,465,50,117
Hungary,Europe,4448,596,3329,523,13,0,0
Iceland,Europe,1854,10,1823,21,7,0,0
India,South-East Asia,1480073,33408,951166,495499,44457,637,33598
Indonesia,South-East Asia,100303,4838,58173,37292,1525,57,1518
Iran,Eastern Mediterranean,293606,15912,255144,22550,2434,212,1931
Iraq,Eastern Mediterranean,112585,4458,77144,30983,2553,96,1927
Ireland,Europe,25892,1764,23364,764,11,0,0
Israel,Europe,63985,474,27133,36378,2029,4,108
Italy,Europe,246286,35112,198593,12581,168,5,147
Jamaica,Americas,853,10,714,129,11,0,0
Japan,Western Pacific,31142,998,21970,8174,594,0,364
Jordan,Eastern Mediterranean,1176,11,1041,124,8,0,0
Kazakhstan,Europe,84648,585,54404,29659,1526,0,1833
Kenya,Africa,17975,285,7833,9857,372,5,90
Kosovo,Europe,7413,185,4027,3201,496,16,274
Kuwait,Eastern Mediterranean,64379,438,55057,8884,606,5,684
Kyrgyzstan,Europe,33296,1301,21205,10790,483,24,817
Laos,Western Pacific,20,0,19,1,0,0,0
Latvia,Europe,1219,31,1045,143,0,0,0
Lebanon,Eastern Mediterranean,3882,51,1709,2122,132,0,17
Lesotho,Africa,505,12,128,365,0,0,0
Liberia,Africa,1167,72,646,449,5,0,5
Libya,Eastern Mediterranean,2827,64,577,2186,158,4,24
Liechtenstein,Europe,86,1,81,4,0,0,0
Lithuania,Europe,2019,80,1620,319,11,0,4
Luxembourg,Europe,6321,112,4825,1384,49,0,178
Madagascar,Africa,9690,91,6260,3339,395,6,681
Malawi,Africa,3664,99,1645,1920,24,0,6
Malaysia,Western Pacific,8904,124,8601,179,7,0,1
Maldives,South-East Asia,3369,15,2547,807,67,0,19
Mali,Africa,2513,124,1913,476,3,1,2
Malta,Europe,701,9,665,27,1,0,0
Mauritania,Africa,6208,156,4653,1399,37,0,223
Mauritius,Africa,344,10,332,2,0,0,0
Mexico,Americas,395489,44022,303810,47657,4973,342,8588
Moldova,Europe,23154,748,16154,6252,120,13,245
Monaco,Europe,116,4,104,8,0,0,0
Mongolia,Western Pacific,289,0,222,67,1,0,4
Montenegro,Europe,2893,45,809,2039,94,2,70
Morocco,Eastern Mediterranean,20887,316,16553,4018,609,3,115
Mozambique,Africa,1701,11,0,1690,32,0,0
Namibia,Africa,1843,8,101,1734,68,0,26
Nepal,South-East Asia,18752,48,13754,4950,139,3,626
Netherlands,Europe,53413,6160,189,47064,419,1,0
New Zealand,Western Pacific,1557,22,1514,21,1,0,1
Nicaragua,Americas,3439,108,2492,839,0,0,0
Niger,Africa,1132,69,1027,36,0,0,0
Nigeria,Africa,41180,860,18203,22117,648,2,829
North Macedonia,Europe,10213,466,5564,4183,127,6,137
Norway,Europe,9132,255,8752,125,15,0,0
Oman,Eastern Mediterranean,77058,393,57028,19637,1053,9,1729
Pakistan,Eastern Mediterranean,274289,5842,241026,27421,1176,20,3592
Panama,Americas,61442,1322,35086,25034,1146,28,955
Papua New Guinea,Western Pacific,62,0,11,51,0,0,0
Paraguay,Americas,4548,43,2905,1600,104,2,111
Peru,Americas,389717,18418,272547,98752,13756,575,4697
Philippines,Western Pacific,82040,1945,26446,53649,1592,13,336
Poland,Europe,43402,1676,32856,8870,337,5,103
Portugal,Europe,50299,1719,35375,13205,135,2,158
Qatar,Eastern Mediterranean,109597,165,106328,3104,292,0,304
Romania,Europe,45902,2206,25794,17902,1104,19,151
Russia,Europe,816680,13334,602249,201097,5607,85,3077
Rwanda,Africa,1879,5,975,899,58,0,57
Saint Kitts and Nevis,Americas,17,0,15,2,0,0,0
Saint Lucia,Americas,24,0,22,2,0,0,0
Saint Vincent and the Grenadines,Americas,52,0,39,13,0,0,0
San Marino,Europe,699,42,657,0,0,0,0
Sao Tome and Principe,Africa,865,14,734,117,2,0,38
Saudi Arabia,Eastern Mediterranean,268934,2760,222936,43238,1993,27,2613
Senegal,Africa,9764,194,6477,3093,83,3,68
Serbia,Europe,24141,543,0,23598,411,9,0
Seychelles,Africa,114,0,39,75,0,0,0
Sierra Leone,Africa,1783,66,1317,400,0,0,4
Singapore,Western Pacific,50838,27,45692,5119,469,0,171
Slovakia,Europe,2181,28,1616,537,2,0,39
Slovenia,Europe,2087,116,1733,238,5,0,55
Somalia,Eastern Mediterranean,3196,93,1543,1560,18,0,22
South Africa,Africa,452529,7067,274925,170537,7096,298,9848
South Korea,Western Pacific,14203,300,13007,896,28,1,102
South Sudan,Africa,2305,46,1175,1084,43,1,0
Spain,Europe,272421,28432,150376,93613,0,0,0
Sri Lanka,South-East Asia,2805,11,2121,673,23,0,15
Sudan,Eastern Mediterranean,11424,720,5939,4765,39,3,49
Suriname,Americas,1483,24,925,534,44,1,35
Sweden,Europe,79395,5700,0,73695,398,3,0
Switzerland,Europe,34477,1978,30900,1599,65,1,200
Syria,Eastern Mediterranean,674,40,0,634,24,2,0
Taiwan*,Western Pacific,462,7,440,15,4,0,0
Tajikistan,Europe,7235,60,6028,1147,43,1,58
Tanzania,Africa,509,21,183,305,0,0,0
Thailand,South-East Asia,3297,58,3111,128,6,0,2
Timor-Leste,South-East Asia,24,0,0,24,0,0,0
Togo,Africa,874,18,607,249,6,0,8
Trinidad and Tobago,Americas,148,8,128,12,1,0,0
Tunisia,Eastern Mediterranean,1455,50,1157,248,3,0,15
Turkey,Europe,227019,5630,210469,10920,919,17,982
US,Americas,4290259,148011,1325804,2816444,56336,1076,27941
Uganda,Africa,1128,2,986,140,13,0,4
Ukraine,Europe,67096,1636,37202,28258,835,11,317
United Arab Emirates,Eastern Mediterranean,59177,345,52510,6322,264,1,328
United Kingdom,Europe,301708,45844,1437,254427,688,7,3
Uruguay,Americas,1202,35,951,216,10,1,3
Uzbekistan,Europe,21209,121,11674,9414,678,5,569
Venezuela,Americas,15988,146,9959,5883,525,4,213
Vietnam,Western Pacific,431,0,365,66,11,0,0
West Bank and Gaza,Eastern Mediterranean,10621,78,3752,6791,152,2,0
Western Sahara,Africa,10,1,8,1,0,0,0
Yemen,Eastern Mediterranean,1691,483,833,375,10,4,36
Zambia,Africa,4552,140,2815,1597,71,1,465
Zimbabwe,Africa,2704,36,542,2126,192,2,24
